ID,LANGUAGE_ID,ACRONYM,LABEL
GP1201,EN,EPP,Group of the European People's Party (Christian Democrats)
GP1201,ES,PPE,Grupo del Partido Popular Europeo (Demócrata-Cristianos)
GP1201,BG,ЕНП,Група на Европейската народна партия (Християндемократи)
GP1201,CS,ELS,Poslanecký klub Evropské lidové strany (Křesťanských demokratů)
GP1201,DA,EPP,Det Europæiske Folkepartis Gruppe (Kristelige Demokrater)
GP1201,DE,EVP,Fraktion der Europäischen Volkspartei (Christdemokraten)
GP1201,EL,ΕΛΚ,Κoιvoβoυλευτική Ομάδα τoυ Ευρωπαϊκoύ Λαϊκoύ Κόμματoς (Χριστιαvoδημoκράτες)
GP1201,ET,ERP,Euroopa Rahvapartei (kristlike demokraatide) fraktsioon
GP1201,FI,EPP,Euroopan kansanpuolueen ryhmä (kristillisdemokraatit)
GP1201,FR,PPE,Groupe du Parti Populaire Européen (Démocrates-Chrétiens)
GP1201,GA,PPE,Grúpa Pháirtí an Phobail Eorpaigh (Na Daonlathaithe Críostaí)
GP1201,HR,EPP,Klub zastupnika Europske pučke stranke (kršćanski demokrati)
GP1201,HU,EPP,Európai Néppárt (Kereszténydemokraták) képviselőcsoport
GP1201,IT,PPE,Gruppo del Partito Popolare Europeo (Democratici-Cristiani)
GP1201,LV,ETP,Eiropas Tautas partijas (Kristīgie demokrāti) grupa
GP1201,LT,ELP,Europos liaudies partijos (krikščionių demokratų) grupė
GP1201,MT,PPE,Grupp tal-Partit Popolari Ewropew (Demokristjani)
GP1201,NL,EVP,Fractie van de Europese Volkspartij (christendemocraten)
GP1201,PL,EPL,Grupa Europejskiej Partii Ludowej (Chrześcijańscy Demokraci)
GP1201,PT,PPE,Grupo do Partido Popular Europeu (Democratas-Cristãos)
GP1201,RO,PPE,Grupul Partidului Popular European (Creștin Democrat)
GP1201,SK,EĽS,Poslanecký klub Európskej ľudovej strany (Kresťanských demokratov)
GP1201,SL,ELS,Poslanska skupina Evropske ljudske stranke (Krščanskih demokratov)
GP1201,SV,EPP,Group of the European People's Party (Christian Democrats)
GP1202,EN,S&D,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
GP1202,ES,S&D,Grupo de la Alianza Progresista de Socialistas y Demócratas en el Parlamento Europeo
GP1202,BG,S&D,Група на Прогресивния алианс на социалистите и демократите в Европейския парламент
GP1202,CS,S&D,Skupina progresivní aliance socialistů a demokratů v Evropském parlamentu
GP1202,DA,S&D,Gruppen for Det Progressive Forbund af Socialdemokrater i Europa-Parlamentet
GP1202,DE,S&D,Fraktion der Progressiven Allianz der Sozialisten & Demokraten im Europäischen Parlament
GP1202,EL,S&D,Ομάδα της Προοδευτικής Συμμαχίας των Σοσιαλιστών και Δημοκρατών στο Ευρωπαϊκό Κοινοβούλιο
GP1202,ET,S&D,Sotsiaaldemokraatide ja demokraatide fraktsioon Euroopa Parlamendis
GP1202,FI,S&D,Euroopan parlamentin sosialistien ja demokraattien ryhmä
GP1202,FR,S&D,Groupe de l'Alliance Progressiste des Socialistes et Démocrates au Parlement européen
GP1202,GA,S&D,An Grúpa d'Aontas Forchéimnitheach na Sóisialaithe agus na nDaonlathaithe i bParlaimint na hEorpa
GP1202,HR,S&D,Klub zastupnika Progresivnog saveza socijalista i demokrata u Europskom parlamentu
GP1202,HU,S&D,Szocialisták és Demokraták Progresszív Szövetsége Európai Parlamenti Képviselőcsoportja
GP1202,IT,S&D,Gruppo dell'Alleanza Progressista di Socialisti e Democratici al Parlamento Europeo
GP1202,LV,S&D,Eiropas Parlamenta sociālistu un demokrātu progresīvās alianses grupa
GP1202,LT,S&D,Europos Parlamento socialistų ir demokratų pažangiojo aljanso frakcija
GP1202,MT,S&D,Grupp tal-Allejanza Progressiva tas-Socjalisti u d-Demokratici fil-Parlament Ewropew
GP1202,NL,S&D,Fractie van de Progressieve Alliantie van Socialisten en Democraten in het Europees Parlement
GP1202,PL,S&D,Grupa Postępowego Sojuszu Socjalistów i Demokratów w Parlamencie Europejskim
GP1202,PT,S&D,Grupo da Aliança Progressista dos Socialistas e Democratas no Parlamento Europeu
GP1202,RO,S&D,Grupul Alianței Progresiste a Socialiștilor si Democraților din Parlamentul European
GP1202,SK,S&D,Skupina progresívnej aliancie socialistov a demokratov v Európskom parlamente
