DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS
BE,BE01,PARTY,PS,Parti Socialiste,,
BE,BE02,PARTY,SP,Socialistische Partij,,
BE,BE03,PARTY,CVP,Christelijke Volkspartij,,
BE,BE04,PARTY,PSC,Parti Social Chrétien,,
BE,BE05,PARTY,PRL,"Parti Réformateur Libéral ",,
BE,BE06,PARTY,PVV,Partij voor Vrijheid en Vooruitgang,,
BE,BE07,PARTY,ECOLO,Ecologistes Confédérés pour I’organisation de luttes originales,,
BE,BE08,PARTY,Agalev,Anders Gaan Leven,,
BE,BE09,PARTY,VI. Blok,Vlaams Blok,,
BE,BE10,PARTY,VU,Volksunie,,
BE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
FBE,BE02,PARTY,SP,"Socialistische Partij ",,
FBE,BE08,PARTY,Agalev,Anders Gaan Leven,,
FBE,BE10,PARTY,VU,Volksunie,,
FBE,BE03,PARTY,CVP,Christelijke Volkspartij,,
FBE,BE06,PARTY,PVV,Partij voor Vrijheid en Vooruitgang,,
FBE,BE09,PARTY,VI. Block,Vlaams Blok,,
FBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
WBE,BE01,PARTY,PS,Parti Socialiste,,
WBE,BE07,PARTY,ECOLO,Ecologistes Confédérés pour I’organisation de luttes originales,,
WBE,BE04,PARTY,PSC,Parti Social Chrétien,,
WBE,BE05,PARTY,PRL,"Parti Réformateur Libéral ",,
WBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
DK,DK01,PARTY,S,Socialdemokratiet,,
DK,DK02,PARTY,CD,Centrum-Demokraterne,,
DK,DK03,PARTY,V,Venstre,,
DK,DK04,PARTY,KF,Konservative Folkeparti,,
DK,DK05,PARTY,SF,Socialistisk Folkeparti,,
DK,DK06,PARTY,FolkB.,Folkebevægelsen mod EU,,
DK,DK90,PARTY,Other parties,Other parties,,
DE,DE01,PARTY,SPD,Sozialdemokratische Partei Deutschlands,,
DE,DE02,PARTY,CDU,Christlich Demokratische Union Deutschlands,,
DE,DE03,PARTY,CSU,Christlich-Soziale Union in Bayern,,
DE,DE04,PARTY,F.D.P,Freie Demokratische Partei,,
DE,DE05,PARTY,Grüne,Bündnis 90 - Die Grünen,,
DE,DE06,PARTY,REP,Die Republikaner,,
DE,DE90,PARTY,Other parties,Other parties,,
IE,IE01,PARTY,Lab.,Labour Party,,
IE,IE02,PARTY,FG,Fine Gael,,
IE,IE03,PARTY,Ind.,Independent,,
IE,IE04,PARTY,PD,Progressive Democrats,,
IE,IE05,PARTY,FF,Fianna Fáil,,
IE,IE06,PARTY,WP,Workers' Party,,
IE,IE90,PARTY,Other parties,Other parties,,
EL,EL01,PARTY,PA.SO.K.,Panellinio Sosialistiko Kinima,,
EL,EL02,PARTY,N.D.,Nea Dhimokratia,,
EL,EL03,PARTY,SYN,Synaspismos tis aristeras kai tis proodou,,
EL,EL04,PARTY,DI.ANA,Dimokratiki Anagennisi,,
EL,EL90,PARTY,Other parties,Other parties,,
ES,ES01,PARTY,PSOE,Partido Socialista Obrero Español,,
ES,ES02,PARTY,PSC,Partit dels Socialistes de Catalunya,,
ES,ES03,PARTY,PP,Partido Popular,,
ES,ES04,PARTY,CiU,Convergencia i Uniò,,
ES,ES05,PARTY,CDS,Centro Democrático y Social,,
ES,ES06,PARTY,IP,Izquierda de los Pueblos,,
ES,ES07,PARTY,IU,Izquierda Unida,,
ES,ES08,PARTY,EA,Eusko Alkartasuna,,
ES,ES09,PARTY,PA,Partido Andalucista,,
ES,ES10,PARTY,Agr. Ruiz-Mateos,Agrupación de Electores José María Ruiz Mateos,,
ES,ES11,PARTY,HB,Herri Batasuna,,
ES,ES12,PARTY,CN,Coalición Nacionalista,,
ES,ES90,PARTY,Other parties,Other parties,,
FR,FR01,PARTY,PS,Parti Socialiste,,
FR,FR02,PARTY,"app. PS  ",Apparenté Parti socialiste,,
FR,FR03,PARTY,MRG,Movement des Radicaux de Gauche,,
FR,FR04,PARTY,s.e.,Sans étiquette,,
FR,FR05,PARTY,CDS,Centre des Démocrates Sociaux,,
FR,FR06,PARTY,UDF,Union pour la Démocratie Française,,
FR,FR07,PARTY,PR,Parti républicain,,
FR,FR09,PARTY,Rad,Parti Radical,,
FR,FR10,PARTY,CNI,Centre national des indépendants et paysans,,
FR,FR11,PARTY,"UDF-Clubs P.    ",Fédération nationale des clubs Perspectives et Réalités,,
FR,FR12,PARTY,UDF-PSD,"Parti social-démocrate ",,
FR,FR13,PARTY,Les Verts,Europe Écologie - Les Verts,,
FR,FR14,PARTY,RPR,Rassemblement pour la République,,
FR,FR15,PARTY,FN,Front National,,
FR,FR16,PARTY,PCF,Parti Communiste Français,,
FR,FR17,PARTY,Verts - UPC,Les Verts - L'Union du peuple corse,,
FR,FR90,PARTY,Other parties,Other parties,,
IT,IT01,PARTY,PSI,Partito Socialista Italiano,,
IT,IT02,PARTY,PSDI,Partito Socialista Democratico Italiano,,
IT,IT03,PARTY,DC,Democrazia Cristiana,,
IT,IT04,PARTY,SVP,Südtiroler Volkspartei,,
IT,IT05,PARTY,PRI,Partito Repubblicano ,,
IT,IT06,PARTY,PRI-PLI-Fed,Partito Repubblicano/ Partito Liberale Italiano/Federalismo Europa dei Popoli,,
IT,IT07,PARTY,Verdi,"Verdi Europa - Lista Verde ",,
IT,IT08,PARTY,ARCOB,Verdi Arcobaleno,,
IT,IT09,PARTY,DP,Democrazia Proletaria,,
IT,IT10,PARTY,L.A.DROGA,Antiproibizionisti sulla droga,,
IT,IT11,PARTY,PCI,Partito Comunista Italiano ,,
IT,IT12,PARTY,LL,Lega Lombarda,,
IT,IT13,PARTY,UV-PSdA,Union Valdôtaine - Partito Sardo d'Azione,,
IT,IT14,PARTY,MSI-DN,Movimento Sociale Italiano – Destra Nazionale,,
IT,IT90,PARTY,Other parties,Other parties,,
LU,LU01,PARTY,POSL,Parti Ouvrier Socialiste Luxembourgeois/Letzeburger Socialistesch Arbeiterpartei,,
LU,LU02,PARTY,PCS,Parti Chrétien Social/Chrëschtlech-Sozial Volleksparte,,
LU,LU03,PARTY,DP,Parti Démocratique/Demokratesch Partei,,
LU,LU90,PARTY,Other parties,Other parties,,
NL,NL01,PARTY,PvdA,Partij van de Arbeid (Europese Sociaaldemocraten),,
NL,NL02,PARTY,CDA,Christen Democratisch Appèl (Europese Volkspartij),,
