DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS
BE,BE01,PARTY,CD&V,Christen-Democratisch en Vlaams,,
BE,BE02,PARTY,cdH,Centre Démocrate Humaniste,,
BE,BE03,PARTY,CSP,"Christeliche soziale Partei ",,
BE,BE04,PARTY,PS,Parti Socialiste,,
BE,BE05,PARTY,sp.a,Socialistische Partij - Anders,,
BE,BE06,PARTY,Open VLD,Vlaamse Liberalen en Democraten,,
BE,BE07,PARTY,MR,Mouvement des Citoyens pour le Changement,,
BE,BE08,PARTY,ECOLO,Ecologistes Confédérés pour I’organisation de luttes originales,,
BE,BE09,PARTY,"Groen! ",Groen!,,
BE,BE10,PARTY,N-VA,Nieuw-Vlaamse Alliantie,,
BE,BE11,PARTY,LDD,Lijst Dedecker,,
BE,BE12,PARTY,Vl. Belang,Vlaams Belang,,
BE,BE13,PARTY,PFF," Partei für Freiheit und Fortschritt",,
BE,BE14,PARTY,ecolo (G),ecolo (G),,
BE,BE15,PARTY,SP,Sozialdemokratischen Partei Ostbelgiëns,,
BE,BE91,PARTY,Other parties W.,Other parties from French-speaking electoral college,,
BE,BE92,PARTY,Other parties G.,Other parties from German-speaking electoral college,,
BE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
FBE,BE05,PARTY,sp.a,Socialistische Partij - Anders,,
FBE,BE09,PARTY,"Groen! ",Groen!,,
FBE,BE10,PARTY,N-VA,Nieuw-Vlaamse Alliantie,,
FBE,BE01,PARTY,CD&V,Christen-Democratisch en Vlaams,,
FBE,BE06,PARTY,Open VLD,Vlaamse Liberalen en Democraten,,
FBE,BE11,PARTY,LDD,Lijst Dedecker,,
FBE,BE12,PARTY,Vl. Belang,Vlaams Belang,,
FBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,
GBE,BE03,PARTY,CSP,"Christeliche soziale Partei ",,
GBE,BE13,PARTY,PFF," Partei für Freiheit und Fortschritt",,
GBE,BE14,PARTY,ecolo (G),ecolo (G),,
GBE,BE15,PARTY,SP,Sozialdemokratischen Partei Ostbelgiëns,,
GBE,BE92,PARTY,Other parties G.,Other parties from German-speaking electoral college,,
WBE,BE04,PARTY,PS,Parti Socialiste,,
WBE,BE08,PARTY,ECOLO,Ecologistes Confédérés pour I’organisation de luttes originales,,
WBE,BE02,PARTY,cdH,Centre Démocrate Humaniste,,
WBE,BE07,PARTY,MR,Mouvement des Citoyens pour le Changement,,
WBE,BE91,PARTY,Other parties W.,Other parties from French-speaking electoral college,,
BG,BG01,PARTY,GERB,Grazhdani za evropeysko razvitie na Balgariya,,
BG,BG02,PARTY,SDS,Săjuz na Demokratičnite Sili,,
BG,BG03,PARTY,BSP,Bulgarska sotsialisticheska partiya,,
BG,BG04,PARTY,DPS,Dvizhenie za prava i svobodi,,
BG,BG05,PARTY,NDSV,Nacionalno dviženie za stabilnost i vazhod,,
BG,BG06,PARTY,ATAKA,Natsionalen Sayuz Ataka,,
BG,BG90,PARTY,Other parties,Other parties,,
CZ,CZ01,PARTY,KDU-CSL,Krest.demokr.unie-Cs.str.lid,,
CZ,CZ02,PARTY,CSSD,Ceská str.sociálne demokrat.,,
CZ,CZ03,PARTY,ODS,Občanská Demokratická Strana,,
CZ,CZ04,PARTY,KSCM,Komunistická str.Cech a Moravy,,
CZ,CZ90,PARTY,Other parties,Other parties,,
DK,DK01,PARTY,KF,Konservative Folkeparti,,
DK,DK02,PARTY,S,Socialdemokraterna,,
DK,DK03,PARTY,V,Venstre,,
DK,DK04,PARTY,SF,Socialistisk Folkeparti,,
DK,DK05,PARTY,N,Folkebevægelsen mod EU,,
DK,DK06,PARTY,DF,Dansk Folkeparti,,
DK,DK90,PARTY,Other parties,Other parties,,
DE,DE01,PARTY,CDU,Christlich-Demokratische Union,,
DE,DE02,PARTY,CSU,Christlich-Soziale Union,,
DE,DE03,PARTY,SPD,Sozialdemokratische Partei Deutschlands,,
DE,DE04,PARTY,FDP,Freie Demokratische Partei,,
DE,DE05,PARTY,Grünen,Bündnis 90/Die Grünen,,
DE,DE06,PARTY,DIE LINKE,Die Linkspartei/ Die Linke,,
DE,DE90,PARTY,Other parties,Other parties,,
IE,IE01,PARTY,FG,Fine Gael - The United Ireland Party,,
IE,IE02,PARTY,Lab,Páirtí an Lucht Oibre,,
IE,IE03,PARTY,M. Harkin (Ind),M. Harkin (Ind),,
IE,IE04,PARTY,FF,Fianna Fáil - An Páirtí Poblachtánach,,
IE,IE05,PARTY,SP,Socialist Party,,
IE,IE90,PARTY,Other parties,Other parties,,
EE,EE01,PARTY,IRL,Isamaa ja Res Publica Liit,,
EE,EE02,PARTY,SDE,Sotsiaaldemokraatlik Erakond,,
EE,EE03,PARTY,KE,Eesti Keskerakond,,
EE,EE04,PARTY,ER,Eesti Reformierakond,,
EE,EE05,PARTY,I. Tarand (Ind),I. Tarand (Ind),,
EE,EE90,PARTY,Other parties,Other parties,,
EL,EL01,PARTY,N.D,Nea Dhimokratia,,
EL,EL02,PARTY,PA.SO.K,Panellinio Sosialistiko Kinima,,
EL,EL03,PARTY,OP,Oikologoi Prasinoi,,
EL,EL04,PARTY,K.K.E,Kommunistiko Komma Elladas,,
EL,EL05,PARTY,SY.RIZ.A,Synaspismós Rizospastikís Aristerás,,
EL,EL06,PARTY,LA.O.S,Laïkós Orthódoxos Synagermós,,
EL,EL90,PARTY,Other parties,Other parties,,
ES,ES01,PARTY,PP,Partido Popular,,
ES,ES02,COALITION,PSOE,Partido Socialista Obrero Español,,ES03|ES04
ES,ES03,PARTY,PSOE,Partido Socialista Obrero Español,ES02,
ES,ES04,PARTY,PSC,Partit dels Socialistes de Catalunya,ES02,
ES,ES05,COALITION,CpE,Coalición por Europa,,ES06|ES07
ES,ES06,PARTY,CDC,Convergència Democràtica de Catalunya,ES05,
ES,ES07,PARTY,PNV,Partido Nacionalista Vasco,ES05,
ES,ES08,COALITION,IU-ICV-EUIA-BA,Izquierda Unida-Iniciativa per Catalunya Verdes-Esquerra Unida i Alternativa-bloque por Asturies: la Izquierda,,ES09|ES10
ES,ES09,PARTY,IU,Izquierda Unida,ES08,
ES,ES10,PARTY,ICV,Iniciativa per Catalunya Verds,ES08,
ES,ES11,COALITION,EdP-V,Europa de los Pueblos - Los Verdes,,ES12
ES,ES12,PARTY,ERC,Esquerra Republicana de Catalunya,ES11,
ES,ES13,PARTY,UPyD,Unión, Progreso y Democracia,,
ES,ES90,PARTY,Other parties,Other parties,,
FR,FR01,COALITION,UMP,Union pour un Mouvement Populaire,,FR02|FR03|FR04
FR,FR02,PARTY,UMP,Union pour un Mouvement Populaire,FR01,
FR,FR03,PARTY,NC,Nouveau Centre,FR01,
FR,FR04,PARTY,GM, La Gauche Moderne,FR01,
FR,FR05,PARTY,PS,Parti Socialiste,,
FR,FR06,PARTY,MoDem,Mouvement démocrate,,
FR,FR07,PARTY,Europe Écologie,Europe Écologie,,
FR,FR08,COALITION,FG,Front de gauche pour changer d'Europe,,FR09|FR10|FR11
FR,FR09,PARTY,PCF,Parti Communiste Français,FR08,
FR,FR10,PARTY,PG,Parti de Gauche,FR08,
FR,FR11,PARTY,MC. Vergiat (Ind),MC. Vergiat (Ind),FR08,
FR,FR12,COALITION,AOM," Alliance des Outre-mers",,FR13
FR,FR13,PARTY,PCR,Parti Communiste Réunionnais,FR12,
FR,FR14,COALITION,Libertas (MPF-CPNT),Libertas (Mouvement pour la France, Chasse Pêche Nature et Tradition),,FR15
FR,FR15,PARTY,MPF,Mouvement pour la France,FR14,
FR,FR16,PARTY,FN,"Front National ",,
FR,FR90,PARTY,Other parties,Other parties,,
IT,IT01,PARTY,PDL,Il Popolo della Libertà,,
IT,IT02,PARTY,UDC,Unione dei Democratici Cristiani e di Centro,,
IT,IT03,PARTY,SVP,Südtiroler Volkspartei,,
IT,IT04,PARTY,PD,Partito Democratico,,
IT,IT05,PARTY,IdV-Lista Di Pietro, Italia dei Valori - Lista Di Pietro,,
IT,IT06,PARTY,LN,Lega Nord,,
IT,IT90,PARTY,Other parties,Other parties,,
CY,CY01,PARTY,DISY,Dimokratikós Sinayermós,,
CY,CY02,PARTY,EDEK,Kinima Sosialdimokraton Eniaia Dimokratiki Enosi Kentrou,,
CY,CY03,PARTY,DI.KO,Dimokratikon Komma,,
CY,CY04,PARTY,AKEL,Anorthotikon Komma Ergazomenou Laou,,
CY,CY90,PARTY,Other parties,Other parties,,
LV,LV01,PARTY,JL,Jaunais laiks,,
LV,LV02,PARTY,PS,Pilsoniska savieniba,,
LV,LV03,COALITION,SC,Saskaņas Centrs,,LV04|LV05
LV,LV04,PARTY,TSP,Tautas Saskaņas Partija,LV03,
LV,LV05,PARTY,LSP,Latvijas Sociālistiskā Partija,LV03,
LV,LV06,PARTY,LPP/LC,Latvijas Pirma- Partija/Latvijas Cels,,
LV,LV07,PARTY,PCTVL,Politisko organizáciju apvieníba 'Par cilvéka tiesíbám vienotá Latvijá',,
LV,LV08,PARTY,TB/LNKK,Apvieníba 'Tévzemei un Brívíbai'/LNNK ,,
LV,LV90,PARTY,Other parties,Other parties,,
LT,LT01,PARTY,TS-LKD,Tevynes sajunga - Lietuvos krikšcionys demokratai,,
LT,LT02,PARTY,LSDP,Lietuvos socialdemokratu partija,,
LT,LT03,PARTY,DP,Darbo partija,,
LT,LT04,PARTY,LRLS,Lietuvos Respublikos liberalu sajudis,,
LT,LT05,PARTY,LLRA,Lietuvos lenku rinkimu akcija,,
LT,LT06,PARTY,TT,Partija Tvarka ir teisingumas,,
LT,LT90,PARTY,Other parties,Other parties,,
LU,LU01,PARTY,CSV,Parti Chrétien Social/Chrëschtlech-Sozial Vollekspartei,,
LU,LU02,PARTY,LSAP,Parti Ouvrier Socialiste Luxembourgeois/Letzeburger Socialistesch Arbeiterpartei,,
LU,LU03,PARTY,DP,Parti Démocratique/Demokratesch Partei,,
LU,LU04,PARTY,déi gréng,Déi Gréng,,
LU,LU90,PARTY,Other parties,Other parties,,
HU,HU01,COALITION,FIDESZ-KDNP,Fidesz - Magyar Polgári Szövetség, Kereszténydemokrata Néppárt,,HU02|HU03|HU04
HU,HU02,PARTY,FIDESZ,Magyar Polgári Szövetség,HU01,
HU,HU03,PARTY,KDNP,Kereszténydemokrata Néppárt,HU01,
HU,HU04,PARTY,A. Kosa (Ind),A. Kosa (Ind),HU01,
HU,HU05,PARTY,MSZP,Magyar Szocialista Párt,,
HU,HU06,PARTY,MDF,Magyar Demokrata Fórum,,
HU,HU07,PARTY,JOBBIK,Jobbik Magyarországért Mozgalom,,
HU,HU90,PARTY,Other parties,Other parties,,
MT,MT01,PARTY,PN,Partit Nazzjonalista,,
MT,MT02,PARTY,PL,Partit Laburista,,
MT,MT90,PARTY,Other parties,Other parties,,
NL,NL01,PARTY,CDA,Christen Democratisch Appèl,,
NL,NL02,PARTY,PvdA,Partij van de Arbeid (Europese Sociaaldemocraten),,
NL,NL03,PARTY,VVD,Volkspartij voor Vrijheid en Democratie,,
NL,NL04,PARTY,D66,Demokraten 66,,
NL,NL05,PARTY,GroenLinks,Groenlinks,,
NL,NL06,COALITION,ChristenUnie-SGP,ChristenUnie-Staatkundig Gereformeerde Partij,,NL07|NL08
NL,NL07,PARTY,ChristenUnie,ChristenUnie,NL06,
NL,NL08,PARTY,SGP,Staatkundig Gereformeerde Partij,NL06,
NL,NL09,PARTY,SP,Socialistische Partij,,
NL,NL10,PARTY,PVV,Partij voor de Vrijheid,,
NL,NL90,PARTY,Other parties,Other parties,,
AT,AT01,PARTY,ÖVP,Österreichische Volkspartei,,
AT,AT02,PARTY,SPÖ,Sozialdemokratische Partei Österreichs,,
