ID,LANGUAGE_ID,ACRONYM,LABEL
GP1001,EN,EPP-ED,Group of the European People's Party (Christian Democrats) and European Democrats
GP1001,ES,PPE-DE,Grupo del Partido Popular Europeo (Demócrata-Cristianos) y de los Demócratas Europeos
GP1001,BG,PPE-DE,Група на Европейската народна партия (Християндемократи) и Европейските демократи
GP1001,CS,ELS-ED,Skupina Evropské lidové strany (Křesťanských demokratů) a Evropských demokratů
GP1001,DA,EPP-ED,Gruppen for Det Europæiske Folkeparti (Kristelige Demokrater) og De Europæiske Demokrater
GP1001,DE,EVP-ED,Fraktion der Europäischen Volkspartei (Christdemokraten) und europäischer Demokraten
GP1001,EL,ΕΛΚ-ΕΔ,Ομάδα τoυ Ευρωπαϊκoύ Λαϊκoύ Κόμματoς (Χριστιαvoδημoκράτες) και των Ευρωπαίωv Δημoκρατώv
GP1001,ET,ERP-ED,Euroopa Rahvapartei (Kristlike Demokraatide) ja Euroopa Demokraatide fraktsioon
GP1001,FI,EPP-ED,Euroopan kansanpuolueen (kristillisdemokraatit) ja Euroopan demokraattien ryhmä
GP1001,FR,PPE-DE,Groupe du Parti populaire européen (Démocrates-chrétiens) et des Démocrates européens
GP1001,GA,PPE-DE,Grúpa Pháirtí an Phobail Eorpaigh (Na Daonlathaithe Críostaí) agus na nDaonlathaithe Eorpacha
GP1001,HR,EPP-ED,Klub zastupnika Europske pučke stranke (kršćanski demokrati) i Europskih demokrata
GP1001,HU,ENP-ED,az Európai Néppárt (Kereszténydemokraták) és az Európai Demokraták Képviselőcsoportja
GP1001,IT,PPE-DE,Gruppo del Partito popolare europeo (Democratici-cristiani) e dei Democratici europei
GP1001,LV,ETP-ED,Eiropas Tautas Partijas (Kristīgo demokrātu) un Eiropas Demokrātu grupa
GP1001,LT,ELP-ED,Europos liaudies partijos (krikščionių demokratų) ir Europos demokratų frakcija
GP1001,MT,PPE-DE,Grupp tal-Partit Popolari Ewropew (Demokristjani) u Demokratiċi Ewropej
GP1001,NL,EVP-ED,Fractie van de Europese Volkspartij (Christen-democraten) en Europese Democraten
GP1001,PL,EPL-ED,Grupa Europejskiej Partii Ludowej (Chrześcijańscy Demokraci) i Europejskich Demokratów
GP1001,PT,PPE-DE,Grupo do Partido Popular Europeu (Democratas-Cristãos) e dos Democratas Europeus
GP1001,RO,PPE-DE,Grupul Partidului Popular European (Creștin-Democrat) și al Democraților Europeni
GP1001,SK,EL'S-ED,Skupina Európskej ľudovej strany (kresťanských demokratov) a Európskych demokratov
GP1001,SL,EPP-ED,Skupina Evropske ljudske stranke (Krščanskih demokratov) in Evropskih demokratov
GP1001,SV,EPP-ED,Gruppen för Europeiska folkpartiet (kristdemokrater) och Europademokrater
GP1002,EN,PSE,Socialist Group in the European Parliament
GP1002,ES,PSE,Grupo Socialista en el Parlamento Europeo
GP1002,BG,PSE,Група на социалистите в Европейския парламент
GP1002,CS,PSE,Skupina sociálních demokratů v Evropském parlamentu
GP1002,DA,PSE,De Europæiske Socialdemokraters Gruppe
GP1002,DE,PSE,Sozialdemokratische Fraktion im Europäischen Parlament
GP1002,EL,PSE,Σοσιαλιστική Ομάδα στο Ευρωπαϊκό Κοινοβούλιο
GP1002,ET,PSE,Euroopa Parlamendi Sotsiaaldemokraatide fraktsioon
GP1002,FI,PSE,Euroopan parlamentin sosialidemokraattinen ryhmä
GP1002,FR,PSE,Groupe socialiste au Parlement européen
GP1002,GA,PSE,An Grúpa Sóisialach i bParlaimint na hEorpa
GP1002,HR,PSE,Klub socijalista u Europskom parlamentu
GP1002,HU,PSE,az Európai Parlament Szocialista Képviselőcsoportja
GP1002,IT,PSE,Gruppo socialista al Parlamento europeo
GP1002,LV,PSE,Sociāldemokrātu grupa Eiropas Parlamentā
GP1002,LT,PSE,Socialistų frakcija Europos Parlamente
GP1002,MT,PSE,Grupp Soċjalista fil-Parlament Ewropew
GP1002,NL,PSE,Sociaal-democratische Fractie in het Europees Parlement
GP1002,PL,PSE,Grupa Socjalistyczna w Parlamencie Europejskim
GP1002,PT,PSE,Grupo Socialista no Parlamento Europeu
GP1002,RO,PSE,Grupul Socialist din Parlamentul European
GP1002,SK,PSE,Socialistická skupina v Európskom parlamente
GP1002,SL,PSE,Skupina socialdemokratov v Evropskem parlamentu
GP1002,SV,PSE,Socialdemokratiska gruppen i Europaparlamentet
GP1003,EN,ALDE,Group of the Alliance of Liberals and Democrats for Europe
GP1003,ES,ALDE,Grupo de la Alianza de los Demócratas y Liberales por Europa
GP1003,BG,ALDE,Група на Алианса на либералите и демократите за Европа
GP1003,CS,ALDE,Skupina Aliance liberálů a demokratů pro Evropu
GP1003,DA,ALDE,Gruppen Alliancen af Liberale og Demokrater for Europa
GP1003,DE,ALDE,Fraktion der Allianz der Liberalen und Demokraten für Europa
GP1003,EL,ALDE,Ομάδα της Συμμαχίας Φιλελευθέρων και Δημοκρατών για την Ευρώπη
GP1003,ET,ALDE,Euroopa Demokraatide ja Liberaalide Liidu fraktsioon
GP1003,FI,ALDE,Euroopan liberaalidemokraattien liiton ryhmä
GP1003,FR,ALDE,Groupe Alliance des démocrates et des libéraux pour l'Europe
GP1003,GA,ALDE,Grúpa Chomhghuaillíocht na Liobrálaithe agus na nDaonlathaithe don Eoraip
GP1003,HR,ALDE,Klub zastupnika Saveza liberala i demokrata za Europu
GP1003,HU,ALDE,Liberálisok és Demokraták Szövetsége Európáért Képviselőcsoport
GP1003,IT,ALDE,Gruppo dell'Alleanza dei Democratici e dei Liberali per l'Europa
GP1003,LV,ALDE,Eiropas Liberāļu un demokrātu apvienības grupa
GP1003,LT,ALDE,Liberalų ir demokratų aljanso už Europą frakcija
GP1003,MT,ALDE,Grupp ta' l-Alleanza tal-Liberali u d-Demokratiċi għall-Ewropa
GP1003,NL,ALDE,Alliantie van Liberalen en Democraten voor Europa fractie
GP1003,PL,ALDE,Grupa Porozumienia Liberałów i Demokratów na rzecz Europy
GP1003,PT,ALDE,Grupo da Aliança dos Democratas e Liberais pela Europa
GP1003,RO,ALDE,Grupul Alianței Liberalilor și Democraților pentru Europa
GP1003,SK,ALDE,Skupina Aliancie liberálov a demokratov za Európu
GP1003,SL,ALDE,Skupina zavezništva liberalcev in demokratov za Evropo
GP1003,SV,ALDE,Gruppen Alliansen liberaler och demokrater för Europa
GP1004,EN,Verts/ALE,Group of the Greens/European Free Alliance
GP1004,ES,Verts/ALE,Grupo de los Verdes/Alianza Libre Europea
GP1004,BG,Verts/ALE,Група на Зелените/Европейски свободен алианс
GP1004,CS,Verts/ALE,Skupina Zelených/Evropské svobodné aliance
GP1004,DA,Verts/ALE,Gruppen De Grønne/Den Europæiske Fri Alliance
GP1004,DE,Verts/ALE,Fraktion der Grünen / Freie Europäische Allianz
GP1004,EL,Verts/ALE,Ομάδα τωv Πρασίvωv / Ευρωπαϊκή Ελεύθερη Συμμαχία
GP1004,ET,Verts/ALE,Roheliste / Euroopa Vabaliidu fraktsioon
GP1004,FI,Verts/ALE,Vihreät / Euroopan vapaa allianssi -ryhmä
GP1004,FR,Verts/ALE,Groupe des Verts/Alliance libre européenne
GP1004,GA,Verts/ALE,An Grúpa Glas/Grúpa na Saor-Comhghuaillíochta Eorpaí
GP1004,HR,Verts/ALE,Klub zastupnika Zelenih/Europskog slobodnog saveza
GP1004,HU,Verts/ALE,a Zöldek/ az Európai Szabad Szövetség Képviselőcsoportja
GP1004,IT,Verts/ALE,Gruppo Verde/Alleanza libera europea
GP1004,LV,Verts/ALE,Zaļo un Eiropas Brīvās apvienības grupa
GP1004,LT,Verts/ALE,Žaliųjų frakcija/Europos laisvasis aljansas
GP1004,MT,Verts/ALE,Grupp tal-Ħodor/Alleanza Ħielsa Ewropea
GP1004,NL,Verts/ALE,Fractie De Groenen/Vrije Europese Alliantie
GP1004,PL,Verts/ALE,Grupa Zielonych / Wolne Przymierze Europejskie
GP1004,PT,Verts/ALE,Grupo dos Verdes/Aliança Livre Europeia
GP1004,RO,Verts/ALE,Grupul Verzilor/Alianța Liberă Europeană
GP1004,SK,Verts/ALE,Skupina zelených/Európska slobodná aliancia
GP1004,SL,Verts/ALE,Skupina Zelenih/Evropske svobodne zveze
GP1004,SV,Verts/ALE,Gruppen De gröna/Europeiska fria alliansen
GP1005,EN,GUE/NGL,Confederal Group of the European United Left - Nordic Green Left
GP1005,ES,GUE/NGL,Grupo Confederal de la Izquierda Unitaria Europea/Izquierda Verde Nórdica
GP1005,BG,GUE/NGL,Конфедеративна група на Европейската обединена левица - Северна зелена левица
GP1005,CS,GUE/NGL,Skupina konfederace Evropské sjednocené levice a Severské zelené levice
GP1005,DA,GUE/NGL,Den Europæiske Venstrefløjs Fællesgruppe/Nordisk Grønne Venstre
GP1005,DE,GUE/NGL,Konföderale Fraktion der Vereinigten Europäischen Linken/Nordische Grüne Linke
GP1005,EL,GUE/NGL,Συνομοσπονδιακή Ομάδα της Ευρωπαϊκής Ενωτικής Αριστεράς/Αριστερά των Πρασίνων των Βορείων Χωρών
GP1005,ET,GUE/NGL,Euroopa Ühendatud Vasakpoolsete / Põhjamaade Roheliste Vasakpoolsete liitfraktsioon
GP1005,FI,GUE/NGL,Euroopan yhtyneen vasemmiston konfederaatioryhmä/Pohjoismaiden vihreä vasemmisto
GP1005,FR,GUE/NGL,Groupe confédéral de la Gauche unitaire européenne/Gauche verte nordique
GP1005,GA,GUE/NGL,Grúpa Cónasctha den Chlé Aontaithe Eorpach - den Chlé Ghlas Nordach
GP1005,HR,GUE/NGL,Konfederalni klub zastupnika Ujedinjene europske ljevice i Nordijske zelene ljevice
GP1005,HU,GUE/NGL,az Egységes Európai Baloldal/az Északi Zöld Baloldal Képviselőcsoportja
GP1005,IT,GUE/NGL,Gruppo confederale della Sinistra unitaria europea/Sinistra verde nordica
GP1005,LV,GUE/NGL,Eiropas Apvienotā kreiso un Ziemeļvalstu Zaļo kreiso spēku konfederālā grupa
GP1005,LT,GUE/NGL,Europos vieningųjų kairiųjų jungtinė frakcija/Šiaurės šalių žalieji kairieji
GP1005,MT,GUE/NGL,Grupp Konfederali tax-Xellug Magħqud Ewropew - Xellug Aħdar Nordiku
GP1005,NL,GUE/NGL,Confederale Fractie Europees Unitair Links/Noords Groen Links
