Bundesland,Gueltige Stimmen,CDU/CSU,SPD,FDP,KPD,Sonstige
Baden,542700,277319,128619,94429,22793,19537
Württemberg-Baden,1426800,442308,359553,259677,105583,259677
Württemberg-Hohenzollern,280600,165834,53033,42931,14871,4209
Bayern,3509800,1024861,796724,298333,143901,1245979
Bremen,267600,45224,92054,34520,18196,77604
Hamburg,739100,145602,292683,116777,62823,121212
Hessen,1626200,348006,522010,456962,108955,190265
Niedersachsen,2978400,524198,994785,223380,92330,1143705
Nordrhein-Westfalen,6279000,2316951,1971606,539994,477204,973245
Rheinland-Pfalz,1346600,659834,385127,212762,83489,5386
Schleswig-Holstein,1019500,312986,301772,75443,31604,297694
