Bundesland,GueltigeWaelende,CDU/CSU,SPD,GRÜNE,FDP,DIE LINKE,AfD
Baden-Württemberg,11269430,5450511,2493047,1237592,512527,508707,429715
Bayern,13152058,6787648,2757719,1058618,517417,474138,430284
Berlin,3573481,1044975,894525,463996,89483,663655,155543
Brandenburg,2772007,974837,688887,118731,56617,641939,83075
Bremen,658223,193724,250641,77681,17564,61805,23071
Hamburg,1780782,591906,625239,207299,60576,145291,66977
Hessen,6289360,2632200,1987734,549788,256852,355789,214229
Mecklenburg-Vorpommern,1733487,753655,320091,70948,30859,391350,48885
Niedersachsen,8882818,3772110,3169561,691786,267938,413580,248299
Nordrhein-Westfalen,18970750,7925374,6500802,1366877,726989,1066843,543769
Rheinland-Pfalz,4415761,1985015,1324939,302628,186225,226266,112730
Saarland,1124509,446501,374315,53744,29899,105022,54203
Sachsen,4657545,2074688,716760,217386,126932,967345,157781
Sachsen-Anhalt,2355322,977199,445590,85787,51677,581351,66318
Schleswig-Holstein,3255288,1347458,1110607,265058,129240,150360,133027
Thüringen,2461077,985366,435216,106437,51383,587436,99994
